"R2","concordance","mse","rmse","bias"
0.673486468043399,0.813295573111974,0.347260086747966,0.589287779228422,0.0311274563008217
0.729062057216376,0.844563029993041,0.267387807424496,0.517095549608093,-0.00208120693513525
0.653754686376389,0.802624394819663,0.334951903438877,0.578750294547551,-0.0147369725500521
0.726605393969352,0.847521667743748,0.283820648888821,0.532748204022145,-0.0336135253714565
0.657603670072024,0.800851029264686,0.305793132957328,0.552985653482374,0.0192163686416862
0.640558676424011,0.790330219957232,0.335648793842271,0.579352046550516,-0.00441722680575918
0.7037428984484,0.830227959531245,0.311102163139101,0.557765329810935,-0.00541805808867668
0.683597354556778,0.819189057352442,0.29388634484882,0.54211285250289,-0.0102210637912075
0.708323361089076,0.831591459025689,0.29389425931702,0.542120152103775,0.0097282365578506
0.698277515345913,0.825918532550491,0.298959301021595,0.546771708322216,0.0041036237304537
0.672284015550525,0.811550485779886,0.345747100197587,0.588002636216528,-0.00117795086386163
0.70305598932628,0.830585145450472,0.280294616956993,0.529428575878742,-0.00678041784008521
0.730661104599649,0.850134303582104,0.251808174598995,0.501804916874073,-0.0149869180564304
0.694292684579218,0.827238825493105,0.283069445247346,0.532042709984214,0.0192759993088307
0.708881641707836,0.825628376955339,0.311044308734875,0.557713464724382,0.0294236302735218
0.719162806876483,0.838454190518189,0.275839895611748,0.525204622610795,-0.0291765046479115
0.70897089383885,0.834696115559106,0.289825117344842,0.538354081757389,0.0263264427232981
0.706557820173429,0.830950226140069,0.303792171961128,0.551173449978433,-0.0224357911929411
0.637891242323056,0.783633026492235,0.348647869757315,0.590464113860711,0.0335748041335062
0.665979455938929,0.809865389943863,0.319498234003165,0.56524174828401,-0.0432420539137111
0.72032971981883,0.842045741038069,0.283503383872996,0.532450358130217,0.0179451300031568
0.660654090961565,0.804861124865704,0.324582024080204,0.569721005475667,-0.0183314942834372
0.659960932283483,0.801411331124168,0.343415952011096,0.586017023652979,0.0363007794432901
0.684831203440182,0.818780182336293,0.317075925908254,0.563094952835003,0.00175158589329527
0.686906585672742,0.821188095600522,0.294761972371956,0.542919858148471,0.00332209867448707
